,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
813,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:38:21.970788.cam1.A_collapsed_diff.fits,107.5,Open,IPOL_MBI,135.0,A,0.105,0.0962496,[7935.5 7355.  7424.  2673. ],[359.25428621 447.79975052 275.57275272  95.29718821],[21832.5 29166.5 13484.5  3445.5],[739.79569161 640.74861244 300.55268769  98.44498114]
1036,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:07.363585.cam1.B_collapsed_diff.fits,107.5,Open,IPOL,135.0,B,0.105,0.0471744,-20633.0,993.92114,34464.0,1130.9978
512,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:27:37.309021.cam1.B_collapsed_diff.fits,107.5,625-50,IPOL,135.0,B,0.105,0.0471744,-1295.0,76.092255,1799.0,360.72137
295,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:45.461969.cam1.B_collapsed_diff.fits,107.5,675-50,IPOL,135.0,B,0.105,0.0471744,-4954.0,272.84964,7873.0,272.6438
1021,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:39:37.884161.cam1.B_collapsed_diff.fits,107.5,725-50,IPOL,135.0,B,0.105,0.0471744,-9104.5,464.01956,14544.0,489.86627
741,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:43:46.346524.cam1.B_collapsed_diff.fits,107.5,750-50,IPOL,135.0,B,0.105,0.0471744,-8899.0,445.225,15468.0,531.30084
65,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:51:30.626418.cam1.B_collapsed_diff.fits,107.5,775-50,IPOL,135.0,B,0.105,0.0471744,-4920.0,260.80087,8409.0,324.3968
193,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:38:21.970788.cam1.B_collapsed_diff.fits,107.5,Open,IPOL_MBI,135.0,B,0.105,0.0962496,[-10387.  -15415.  -11057.5  -3452. ],[ 579.07747002 1075.28519852  495.02155137  119.54288888],[21302.  29472.  14073.   3839.5],[749.04661881 731.79825769 365.90108974 125.33979793]
702,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:23.725904.cam1.A_collapsed_diff.fits,70.0,Open,IPOL,146.25,A,0.105,0.0471744,-16263.0,908.4663,32478.0,1116.4181
457,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:52.750649.cam1.A_collapsed_diff.fits,70.0,625-50,IPOL,146.25,A,0.105,0.0471744,397.0,92.95148,1753.0,81.14376
